"variable"	"value"	"Expected.genome.size"	"Expected_ploidy"
"80"	"yHRW22"	86.693	92	"8N"
"81"	"yHRW22"	100.021	92	"8N"
"82"	"yHRW22"	79.059	92	"8N"
"83"	"yHRW22"	81.259	92	"8N"
"84"	"yHRW22"	89.152	92	"8N"
"85"	"yHRW22"	82.941	92	"8N"
"86"	"yHRW22"	60.168	92	"8N"
"87"	"yHRW22"	82.682	92	"8N"
"88"	"yHRW22"	99.891	92	"8N"
"89"	"yHRW22"	61.332	92	"8N"
"90"	"yHRW22"	86.434	92	"8N"
"91"	"yHRW22"	82.811	92	"8N"
"92"	"yHRW22"	56.674	92	"8N"
"93"	"yHRW22"	87.599	92	"8N"
"94"	"yHRW22"	92.645	92	"8N"
"95"	"yHRW22"	112.572	92	"8N"
"96"	"yHRW22"	91.74	92	"8N"
"97"	"yHRW22"	69.225	92	"8N"
"98"	"yHRW22"	31.572	92	"8N"
"99"	"yHRW22"	26.008	92	"8N"
"100"	"yHRW22"	73.107	92	"8N"
"101"	"yHRW22"	118.265	92	"8N"
"102"	"yHRW22"	143.626	92	"8N"
"103"	"yHRW22"	115.548	92	"8N"
"104"	"yHRW22"	65.214	92	"8N"
"105"	"yHRW22"	100.797	92	"8N"
"106"	"yHRW22"	105.067	92	"8N"
"107"	"yHRW22"	67.284	92	"8N"
"108"	"yHRW22"	68.061	92	"8N"
"109"	"yHRW22"	89.022	92	"8N"
"110"	"yHRW22"	121.888	92	"8N"
"111"	"yHRW22"	64.438	92	"8N"
"112"	"yHRW22"	71.813	92	"8N"
"113"	"yHRW22"	87.599	92	"8N"
"114"	"yHRW22"	71.425	92	"8N"
"115"	"yHRW22"	91.74	92	"8N"
"116"	"yHRW22"	49.169	92	"8N"
"117"	"yHRW22"	104.291	92	"8N"
"118"	"yHRW22"	66.896	92	"8N"
"119"	"yHRW22"	50.593	92	"8N"
"120"	"yHRW22"	82.941	92	"8N"
"121"	"yHRW22"	75.695	92	"8N"
"122"	"yHRW22"	52.922	92	"8N"
"123"	"yHRW22"	31.442	92	"8N"
"124"	"yHRW22"	26.008	92	"8N"
"125"	"yHRW22"	NA	92	"8N"
"126"	"yHRW22"	NA	92	"8N"
"127"	"yHRW22"	NA	92	"8N"
"128"	"yHRW22"	NA	92	"8N"
"129"	"yHRW22"	NA	92	"8N"
"130"	"yHRW22"	NA	92	"8N"
"131"	"yHRW22"	NA	92	"8N"
"132"	"yHRW22"	NA	92	"8N"
"133"	"yHRW22"	NA	92	"8N"
"134"	"yHRW22"	NA	92	"8N"
"135"	"yHRW22"	NA	92	"8N"
"136"	"yHRW22"	NA	92	"8N"
"137"	"yHRW22"	NA	92	"8N"
"138"	"yHRW22"	NA	92	"8N"
"139"	"yHRW22"	NA	92	"8N"
"140"	"yHRW22"	NA	92	"8N"
"141"	"yHRW22"	NA	92	"8N"
"142"	"yHRW22"	NA	92	"8N"
"143"	"yHRW22"	NA	92	"8N"
"144"	"yHRW22"	NA	92	"8N"
"145"	"yHRW22"	NA	92	"8N"
"146"	"yHRW22"	NA	92	"8N"
"147"	"yHRW22"	NA	92	"8N"
"148"	"yHRW22"	NA	92	"8N"
"149"	"yHRW22"	NA	92	"8N"
"150"	"yHRW22"	NA	92	"8N"
"151"	"yHRW22"	NA	92	"8N"
"152"	"yHRW22"	NA	92	"8N"
"153"	"yHRW22"	NA	92	"8N"
"154"	"yHRW22"	NA	92	"8N"
"155"	"yHRW22"	NA	92	"8N"
"156"	"yHRW22"	NA	92	"8N"
"157"	"yHRW24"	115.548	89	"8N"
"158"	"yHRW24"	63.144	89	"8N"
"159"	"yHRW24"	107.784	89	"8N"
"160"	"yHRW24"	71.813	89	"8N"
"161"	"yHRW24"	92.645	89	"8N"
"162"	"yHRW24"	91.869	89	"8N"
"163"	"yHRW24"	59.262	89	"8N"
"164"	"yHRW24"	76.859	89	"8N"
"165"	"yHRW24"	26.267	89	"8N"
"166"	"yHRW24"	69.613	89	"8N"
"167"	"yHRW24"	90.057	89	"8N"
"168"	"yHRW24"	57.968	89	"8N"
"169"	"yHRW24"	24.973	89	"8N"
"170"	"yHRW24"	71.295	89	"8N"
"171"	"yHRW24"	62.626	89	"8N"
"172"	"yHRW24"	69.872	89	"8N"
"173"	"yHRW24"	108.043	89	"8N"
"174"	"yHRW24"	87.081	89	"8N"
"175"	"yHRW24"	93.939	89	"8N"
"176"	"yHRW24"	74.013	89	"8N"
"177"	"yHRW24"	31.184	89	"8N"
"178"	"yHRW24"	25.879	89	"8N"
"179"	"yHRW24"	138.58	89	"8N"
"180"	"yHRW24"	105.326	89	"8N"
"181"	"yHRW24"	115.289	89	"8N"
"182"	"yHRW24"	87.34	89	"8N"
"183"	"yHRW24"	109.466	89	"8N"
"184"	"yHRW24"	67.931	89	"8N"
"185"	"yHRW24"	130.946	89	"8N"
"186"	"yHRW24"	78.153	89	"8N"
"187"	"yHRW24"	69.096	89	"8N"
"188"	"yHRW24"	133.016	89	"8N"
"189"	"yHRW24"	63.403	89	"8N"
"190"	"yHRW24"	76.601	89	"8N"
"191"	"yHRW24"	80.482	89	"8N"
"192"	"yHRW24"	83.07	89	"8N"
"193"	"yHRW24"	65.732	89	"8N"
"194"	"yHRW24"	88.634	89	"8N"
"195"	"yHRW24"	58.356	89	"8N"
"196"	"yHRW24"	70.649	89	"8N"
"197"	"yHRW24"	88.375	89	"8N"
"198"	"yHRW24"	61.85	89	"8N"
"199"	"yHRW24"	72.072	89	"8N"
"200"	"yHRW24"	66.896	89	"8N"
"201"	"yHRW24"	23.291	89	"8N"
"202"	"yHRW24"	90.446	89	"8N"
"203"	"yHRW24"	31.701	89	"8N"
"204"	"yHRW24"	26.396	89	"8N"
"205"	"yHRW24"	NA	89	"8N"
"206"	"yHRW24"	NA	89	"8N"
"207"	"yHRW24"	NA	89	"8N"
"208"	"yHRW24"	NA	89	"8N"
"209"	"yHRW24"	NA	89	"8N"
"210"	"yHRW24"	NA	89	"8N"
"211"	"yHRW24"	NA	89	"8N"
"212"	"yHRW24"	NA	89	"8N"
"213"	"yHRW24"	NA	89	"8N"
"214"	"yHRW24"	NA	89	"8N"
"215"	"yHRW24"	NA	89	"8N"
"216"	"yHRW24"	NA	89	"8N"
"217"	"yHRW24"	NA	89	"8N"
"218"	"yHRW24"	NA	89	"8N"
"219"	"yHRW24"	NA	89	"8N"
"220"	"yHRW24"	NA	89	"8N"
"221"	"yHRW24"	NA	89	"8N"
"222"	"yHRW24"	NA	89	"8N"
"223"	"yHRW24"	NA	89	"8N"
"224"	"yHRW24"	NA	89	"8N"
"225"	"yHRW24"	NA	89	"8N"
"226"	"yHRW24"	NA	89	"8N"
"227"	"yHRW24"	NA	89	"8N"
"228"	"yHRW24"	NA	89	"8N"
"229"	"yHRW24"	NA	89	"8N"
"230"	"yHRW24"	NA	89	"8N"
"231"	"yHRW24"	NA	89	"8N"
"232"	"yHRW24"	NA	89	"8N"
"233"	"yHRW24"	NA	89	"8N"
"234"	"yHRW24"	NA	89	"8N"
"235"	"yHRW39"	50.722	136	"12N"
"236"	"yHRW39"	68.061	136	"12N"
"237"	"yHRW39"	81.129	136	"12N"
"238"	"yHRW39"	71.425	136	"12N"
"239"	"yHRW39"	74.142	136	"12N"
"240"	"yHRW39"	38.171	136	"12N"
"241"	"yHRW39"	56.027	136	"12N"
"242"	"yHRW39"	43.088	136	"12N"
"243"	"yHRW39"	48.911	136	"12N"
"244"	"yHRW39"	51.498	136	"12N"
"245"	"yHRW39"	78.541	136	"12N"
"246"	"yHRW39"	108.302	136	"12N"
"247"	"yHRW39"	44.252	136	"12N"
"248"	"yHRW39"	69.484	136	"12N"
"249"	"yHRW39"	52.792	136	"12N"
"250"	"yHRW39"	96.656	136	"12N"
"251"	"yHRW39"	32.348	136	"12N"
"252"	"yHRW39"	37.006	136	"12N"
"253"	"yHRW39"	107.784	136	"12N"
"254"	"yHRW39"	43.735	136	"12N"
"255"	"yHRW39"	74.53	136	"12N"
"256"	"yHRW39"	119.947	136	"12N"
"257"	"yHRW39"	50.981	136	"12N"
"258"	"yHRW39"	48.781	136	"12N"
"259"	"yHRW39"	84.494	136	"12N"
"260"	"yHRW39"	72.978	136	"12N"
"261"	"yHRW39"	33.383	136	"12N"
"262"	"yHRW39"	58.097	136	"12N"
"263"	"yHRW39"	69.355	136	"12N"
"264"	"yHRW39"	72.072	136	"12N"
"265"	"yHRW39"	86.564	136	"12N"
"266"	"yHRW39"	80.482	136	"12N"
"267"	"yHRW39"	76.989	136	"12N"
"268"	"yHRW39"	72.589	136	"12N"
"269"	"yHRW39"	52.922	136	"12N"
"270"	"yHRW39"	89.799	136	"12N"
"271"	"yHRW39"	99.503	136	"12N"
"272"	"yHRW39"	30.796	136	"12N"
"273"	"yHRW39"	25.749	136	"12N"
"274"	"yHRW39"	108.949	136	"12N"
"275"	"yHRW39"	74.272	136	"12N"
"276"	"yHRW39"	138.45	136	"12N"
"277"	"yHRW39"	75.048	136	"12N"
"278"	"yHRW39"	67.284	136	"12N"
"279"	"yHRW39"	65.085	136	"12N"
"280"	"yHRW39"	76.601	136	"12N"
"281"	"yHRW39"	25.49	136	"12N"
"282"	"yHRW39"	82.811	136	"12N"
"283"	"yHRW39"	58.356	136	"12N"
"284"	"yHRW39"	71.037	136	"12N"
"285"	"yHRW39"	72.719	136	"12N"
"286"	"yHRW39"	52.275	136	"12N"
"287"	"yHRW39"	59.78	136	"12N"
"288"	"yHRW39"	96.915	136	"12N"
"289"	"yHRW39"	49.428	136	"12N"
"290"	"yHRW39"	145.567	136	"12N"
"291"	"yHRW39"	108.043	136	"12N"
"292"	"yHRW39"	54.604	136	"12N"
"293"	"yHRW39"	62.756	136	"12N"
"294"	"yHRW39"	143.497	136	"12N"
"295"	"yHRW39"	81.647	136	"12N"
"296"	"yHRW39"	64.179	136	"12N"
"297"	"yHRW39"	56.286	136	"12N"
"298"	"yHRW39"	65.214	136	"12N"
"299"	"yHRW39"	52.534	136	"12N"
"300"	"yHRW39"	52.404	136	"12N"
"301"	"yHRW39"	48.522	136	"12N"
"302"	"yHRW39"	50.851	136	"12N"
"303"	"yHRW39"	57.45	136	"12N"
"304"	"yHRW39"	48.652	136	"12N"
"305"	"yHRW39"	58.486	136	"12N"
"306"	"yHRW39"	49.428	136	"12N"
"307"	"yHRW39"	64.826	136	"12N"
"308"	"yHRW39"	42.829	136	"12N"
"309"	"yHRW39"	30.537	136	"12N"
"310"	"yHRW39"	25.49	136	"12N"
"311"	"yHRW39"	NA	136	"12N"
"312"	"yHRW39"	NA	136	"12N"
"313"	"yHRW4"	71.684	42	"4N"
"314"	"yHRW4"	50.075	42	"4N"
"315"	"yHRW4"	41.147	42	"4N"
"316"	"yHRW4"	68.449	42	"4N"
"317"	"yHRW4"	94.069	42	"4N"
"318"	"yHRW4"	35.842	42	"4N"
"319"	"yHRW4"	56.933	42	"4N"
"320"	"yHRW4"	57.968	42	"4N"
"321"	"yHRW4"	44.641	42	"4N"
"322"	"yHRW4"	36.23	42	"4N"
"323"	"yHRW4"	68.708	42	"4N"
"324"	"yHRW4"	69.096	42	"4N"
"325"	"yHRW4"	23.291	42	"4N"
"326"	"yHRW4"	59.133	42	"4N"
"327"	"yHRW4"	64.696	42	"4N"
"328"	"yHRW4"	101.703	42	"4N"
"329"	"yHRW4"	32.219	42	"4N"
"330"	"yHRW4"	54.474	42	"4N"
"331"	"yHRW4"	71.425	42	"4N"
"332"	"yHRW4"	150.484	42	"4N"
"333"	"yHRW4"	62.626	42	"4N"
"334"	"yHRW4"	50.593	42	"4N"
"335"	"yHRW4"	54.474	42	"4N"
"336"	"yHRW4"	29.372	42	"4N"
"337"	"yHRW4"	31.572	42	"4N"
"338"	"yHRW4"	43.605	42	"4N"
"339"	"yHRW4"	77.118	42	"4N"
"340"	"yHRW4"	36.489	42	"4N"
"341"	"yHRW4"	62.497	42	"4N"
"342"	"yHRW4"	74.401	42	"4N"
"343"	"yHRW4"	60.815	42	"4N"
"344"	"yHRW4"	22.903	42	"4N"
"345"	"yHRW4"	39.465	42	"4N"
"346"	"yHRW4"	83.717	42	"4N"
"347"	"yHRW4"	85.658	42	"4N"
"348"	"yHRW4"	32.219	42	"4N"
"349"	"yHRW4"	26.396	42	"4N"
"350"	"yHRW4"	61.85	42	"4N"
"351"	"yHRW4"	50.463	42	"4N"
"352"	"yHRW4"	44.382	42	"4N"
"353"	"yHRW4"	61.979	42	"4N"
"354"	"yHRW4"	65.732	42	"4N"
"355"	"yHRW4"	62.109	42	"4N"
"356"	"yHRW4"	35.454	42	"4N"
"357"	"yHRW4"	79.059	42	"4N"
"358"	"yHRW4"	66.12	42	"4N"
"359"	"yHRW4"	48.911	42	"4N"
"360"	"yHRW4"	51.887	42	"4N"
"361"	"yHRW4"	134.18	42	"4N"
"362"	"yHRW4"	32.995	42	"4N"
"363"	"yHRW4"	48.393	42	"4N"
"364"	"yHRW4"	67.026	42	"4N"
"365"	"yHRW4"	48.264	42	"4N"
"366"	"yHRW4"	42.7	42	"4N"
"367"	"yHRW4"	75.565	42	"4N"
"368"	"yHRW4"	56.933	42	"4N"
"369"	"yHRW4"	171.316	42	"4N"
"370"	"yHRW4"	70.519	42	"4N"
"371"	"yHRW4"	47.746	42	"4N"
"372"	"yHRW4"	105.585	42	"4N"
"373"	"yHRW4"	74.272	42	"4N"
"374"	"yHRW4"	57.321	42	"4N"
"375"	"yHRW4"	53.31	42	"4N"
"376"	"yHRW4"	77.506	42	"4N"
"377"	"yHRW4"	63.403	42	"4N"
"378"	"yHRW4"	119.818	42	"4N"
"379"	"yHRW4"	47.487	42	"4N"
"380"	"yHRW4"	72.848	42	"4N"
"381"	"yHRW4"	70.131	42	"4N"
"382"	"yHRW4"	102.091	42	"4N"
"383"	"yHRW4"	27.173	42	"4N"
"384"	"yHRW4"	105.973	42	"4N"
"385"	"yHRW4"	31.701	42	"4N"
"386"	"yHRW4"	26.267	42	"4N"
"387"	"yHRW4"	NA	42	"4N"
"388"	"yHRW4"	NA	42	"4N"
"389"	"yHRW4"	NA	42	"4N"
"390"	"yHRW4"	NA	42	"4N"
"391"	"yHRW56"	78.541	136	"12N"
"392"	"yHRW56"	68.319	136	"12N"
"393"	"yHRW56"	92.516	136	"12N"
"394"	"yHRW56"	78.412	136	"12N"
"395"	"yHRW56"	63.403	136	"12N"
"396"	"yHRW56"	64.567	136	"12N"
"397"	"yHRW56"	79.577	136	"12N"
"398"	"yHRW56"	89.669	136	"12N"
"399"	"yHRW56"	87.728	136	"12N"
"400"	"yHRW56"	51.628	136	"12N"
"401"	"yHRW56"	78.541	136	"12N"
"402"	"yHRW56"	109.596	136	"12N"
"403"	"yHRW56"	76.859	136	"12N"
"404"	"yHRW56"	71.942	136	"12N"
"405"	"yHRW56"	75.048	136	"12N"
"406"	"yHRW56"	88.893	136	"12N"
"407"	"yHRW56"	87.599	136	"12N"
"408"	"yHRW56"	67.155	136	"12N"
"409"	"yHRW56"	65.085	136	"12N"
"410"	"yHRW56"	95.751	136	"12N"
"411"	"yHRW56"	116.065	136	"12N"
"412"	"yHRW56"	64.826	136	"12N"
"413"	"yHRW56"	89.799	136	"12N"
"414"	"yHRW56"	65.99	136	"12N"
"415"	"yHRW56"	80.094	136	"12N"
"416"	"yHRW56"	64.955	136	"12N"
"417"	"yHRW56"	72.072	136	"12N"
"418"	"yHRW56"	67.155	136	"12N"
"419"	"yHRW56"	81.388	136	"12N"
"420"	"yHRW56"	69.484	136	"12N"
"421"	"yHRW56"	74.272	136	"12N"
"422"	"yHRW56"	91.481	136	"12N"
"423"	"yHRW56"	64.049	136	"12N"
"424"	"yHRW56"	92.775	136	"12N"
"425"	"yHRW56"	87.081	136	"12N"
"426"	"yHRW56"	93.551	136	"12N"
"427"	"yHRW56"	61.979	136	"12N"
"428"	"yHRW56"	30.925	136	"12N"
"429"	"yHRW56"	25.49	136	"12N"
"430"	"yHRW56"	167.046	136	"12N"
"431"	"yHRW56"	84.752	136	"12N"
"432"	"yHRW56"	96.656	136	"12N"
"433"	"yHRW56"	72.201	136	"12N"
"434"	"yHRW56"	82.553	136	"12N"
"435"	"yHRW56"	68.319	136	"12N"
"436"	"yHRW56"	60.556	136	"12N"
"437"	"yHRW56"	78.541	136	"12N"
"438"	"yHRW56"	81.129	136	"12N"
"439"	"yHRW56"	106.232	136	"12N"
"440"	"yHRW56"	86.046	136	"12N"
"441"	"yHRW56"	81.259	136	"12N"
"442"	"yHRW56"	74.401	136	"12N"
"443"	"yHRW56"	71.813	136	"12N"
"444"	"yHRW56"	74.918	136	"12N"
"445"	"yHRW56"	90.446	136	"12N"
"446"	"yHRW56"	61.72	136	"12N"
"447"	"yHRW56"	60.685	136	"12N"
"448"	"yHRW56"	71.942	136	"12N"
"449"	"yHRW56"	147.508	136	"12N"
"450"	"yHRW56"	91.998	136	"12N"
"451"	"yHRW56"	66.508	136	"12N"
"452"	"yHRW56"	65.214	136	"12N"
"453"	"yHRW56"	87.211	136	"12N"
"454"	"yHRW56"	104.808	136	"12N"
"455"	"yHRW56"	66.767	136	"12N"
"456"	"yHRW56"	75.695	136	"12N"
"457"	"yHRW56"	84.364	136	"12N"
"458"	"yHRW56"	63.144	136	"12N"
"459"	"yHRW56"	73.883	136	"12N"
"460"	"yHRW56"	83.588	136	"12N"
"461"	"yHRW56"	80.353	136	"12N"
"462"	"yHRW56"	82.811	136	"12N"
"463"	"yHRW56"	84.752	136	"12N"
"464"	"yHRW56"	67.284	136	"12N"
"465"	"yHRW56"	82.553	136	"12N"
"466"	"yHRW56"	86.823	136	"12N"
"467"	"yHRW56"	25.879	136	"12N"
"468"	"yHRW56"	NA	136	"12N"
"469"	"yHRW7"	61.85	47	"4N"
"470"	"yHRW7"	79.577	47	"4N"
"471"	"yHRW7"	103.256	47	"4N"
"472"	"yHRW7"	58.486	47	"4N"
"473"	"yHRW7"	32.219	47	"4N"
"474"	"yHRW7"	79.706	47	"4N"
"475"	"yHRW7"	68.837	47	"4N"
"476"	"yHRW7"	141.426	47	"4N"
"477"	"yHRW7"	71.813	47	"4N"
"478"	"yHRW7"	60.944	47	"4N"
"479"	"yHRW7"	55.51	47	"4N"
"480"	"yHRW7"	59.262	47	"4N"
"481"	"yHRW7"	68.578	47	"4N"
"482"	"yHRW7"	64.567	47	"4N"
"483"	"yHRW7"	66.896	47	"4N"
"484"	"yHRW7"	33.125	47	"4N"
"485"	"yHRW7"	55.251	47	"4N"
"486"	"yHRW7"	54.863	47	"4N"
"487"	"yHRW7"	81.647	47	"4N"
"488"	"yHRW7"	58.227	47	"4N"
"489"	"yHRW7"	53.569	47	"4N"
"490"	"yHRW7"	90.575	47	"4N"
"491"	"yHRW7"	54.863	47	"4N"
"492"	"yHRW7"	48.522	47	"4N"
"493"	"yHRW7"	47.746	47	"4N"
"494"	"yHRW7"	27.949	47	"4N"
"495"	"yHRW7"	65.99	47	"4N"
"496"	"yHRW7"	30.796	47	"4N"
"497"	"yHRW7"	50.851	47	"4N"
"498"	"yHRW7"	68.837	47	"4N"
"499"	"yHRW7"	35.324	47	"4N"
"500"	"yHRW7"	79.447	47	"4N"
"501"	"yHRW7"	25.102	47	"4N"
"502"	"yHRW7"	61.462	47	"4N"
"503"	"yHRW7"	31.313	47	"4N"
"504"	"yHRW7"	167.952	47	"4N"
"505"	"yHRW7"	70.26	47	"4N"
"506"	"yHRW7"	72.848	47	"4N"
"507"	"yHRW7"	75.565	47	"4N"
"508"	"yHRW7"	50.463	47	"4N"
"509"	"yHRW7"	42.958	47	"4N"
"510"	"yHRW7"	81	47	"4N"
"511"	"yHRW7"	37.395	47	"4N"
"512"	"yHRW7"	52.145	47	"4N"
"513"	"yHRW7"	40.371	47	"4N"
"514"	"yHRW7"	46.323	47	"4N"
"515"	"yHRW7"	140.779	47	"4N"
"516"	"yHRW7"	55.251	47	"4N"
"517"	"yHRW7"	59.262	47	"4N"
"518"	"yHRW7"	63.144	47	"4N"
"519"	"yHRW7"	51.11	47	"4N"
"520"	"yHRW7"	44.641	47	"4N"
"521"	"yHRW7"	86.564	47	"4N"
"522"	"yHRW7"	44.77	47	"4N"
"523"	"yHRW7"	52.922	47	"4N"
"524"	"yHRW7"	105.196	47	"4N"
"525"	"yHRW7"	51.628	47	"4N"
"526"	"yHRW7"	65.085	47	"4N"
"527"	"yHRW7"	41.406	47	"4N"
"528"	"yHRW7"	68.19	47	"4N"
"529"	"yHRW7"	49.04	47	"4N"
"530"	"yHRW7"	58.874	47	"4N"
"531"	"yHRW7"	27.561	47	"4N"
"532"	"yHRW7"	38.947	47	"4N"
"533"	"yHRW7"	64.049	47	"4N"
"534"	"yHRW7"	49.557	47	"4N"
"535"	"yHRW7"	28.596	47	"4N"
"536"	"yHRW7"	67.931	47	"4N"
"537"	"yHRW7"	35.195	47	"4N"
"538"	"yHRW7"	32.478	47	"4N"
"539"	"yHRW7"	56.157	47	"4N"
"540"	"yHRW7"	60.944	47	"4N"
"541"	"yHRW7"	104.808	47	"4N"
"542"	"yHRW7"	99.244	47	"4N"
"543"	"yHRW7"	45.934	47	"4N"
"544"	"yHRW7"	49.557	47	"4N"
"545"	"yHRW7"	30.925	47	"4N"
"546"	"yHRW7"	25.749	47	"4N"
