"variable"	"cell_area"	"Expected.genome.size"	"Expected_ploidy"
"137"	"yHRWh22"	NA	92	"8N"
"138"	"yHRWh22"	NA	92	"8N"
"139"	"yHRWh22"	NA	92	"8N"
"140"	"yHRWh22"	NA	92	"8N"
"141"	"yHRWh22"	NA	92	"8N"
"142"	"yHRWh22"	NA	92	"8N"
"143"	"yHRWh22"	NA	92	"8N"
"144"	"yHRWh22"	NA	92	"8N"
"145"	"yHRWh22"	NA	92	"8N"
"146"	"yHRWh22"	NA	92	"8N"
"147"	"yHRWh22"	NA	92	"8N"
"148"	"yHRWh22"	NA	92	"8N"
"149"	"yHRWh22"	NA	92	"8N"
"150"	"yHRWh22"	NA	92	"8N"
"151"	"yHRWh22"	NA	92	"8N"
"152"	"yHRWh22"	NA	92	"8N"
"153"	"yHRWh22"	NA	92	"8N"
"154"	"yHRWh22"	NA	92	"8N"
"155"	"yHRWh22"	NA	92	"8N"
"156"	"yHRWh22"	NA	92	"8N"
"157"	"yHRWh24"	115.548	89	"8N"
"158"	"yHRWh24"	63.144	89	"8N"
"159"	"yHRWh24"	107.784	89	"8N"
"160"	"yHRWh24"	71.813	89	"8N"
"161"	"yHRWh24"	92.645	89	"8N"
"162"	"yHRWh24"	91.869	89	"8N"
"163"	"yHRWh24"	59.262	89	"8N"
"164"	"yHRWh24"	76.859	89	"8N"
"165"	"yHRWh24"	26.267	89	"8N"
"166"	"yHRWh24"	69.613	89	"8N"
"167"	"yHRWh24"	90.057	89	"8N"
"168"	"yHRWh24"	57.968	89	"8N"
"169"	"yHRWh24"	24.973	89	"8N"
"170"	"yHRWh24"	71.295	89	"8N"
"171"	"yHRWh24"	62.626	89	"8N"
"172"	"yHRWh24"	69.872	89	"8N"
"173"	"yHRWh24"	108.043	89	"8N"
"174"	"yHRWh24"	87.081	89	"8N"
"175"	"yHRWh24"	93.939	89	"8N"
"176"	"yHRWh24"	74.013	89	"8N"
"177"	"yHRWh24"	31.184	89	"8N"
"178"	"yHRWh24"	25.879	89	"8N"
"179"	"yHRWh24"	138.58	89	"8N"
"180"	"yHRWh24"	105.326	89	"8N"
"181"	"yHRWh24"	115.289	89	"8N"
"182"	"yHRWh24"	87.34	89	"8N"
"183"	"yHRWh24"	109.466	89	"8N"
"184"	"yHRWh24"	67.931	89	"8N"
"185"	"yHRWh24"	130.946	89	"8N"
"186"	"yHRWh24"	78.153	89	"8N"
"187"	"yHRWh24"	69.096	89	"8N"
"188"	"yHRWh24"	133.016	89	"8N"
"189"	"yHRWh24"	63.403	89	"8N"
"190"	"yHRWh24"	76.601	89	"8N"
"191"	"yHRWh24"	80.482	89	"8N"
"192"	"yHRWh24"	83.07	89	"8N"
"193"	"yHRWh24"	65.732	89	"8N"
"194"	"yHRWh24"	88.634	89	"8N"
"195"	"yHRWh24"	58.356	89	"8N"
"196"	"yHRWh24"	70.649	89	"8N"
"197"	"yHRWh24"	88.375	89	"8N"
"198"	"yHRWh24"	61.85	89	"8N"
"199"	"yHRWh24"	72.072	89	"8N"
"200"	"yHRWh24"	66.896	89	"8N"
"201"	"yHRWh24"	23.291	89	"8N"
"202"	"yHRWh24"	90.446	89	"8N"
"203"	"yHRWh24"	31.701	89	"8N"
"204"	"yHRWh24"	26.396	89	"8N"
"205"	"yHRWh24"	NA	89	"8N"
"206"	"yHRWh24"	NA	89	"8N"
"207"	"yHRWh24"	NA	89	"8N"
"208"	"yHRWh24"	NA	89	"8N"
"209"	"yHRWh24"	NA	89	"8N"
"210"	"yHRWh24"	NA	89	"8N"
"211"	"yHRWh24"	NA	89	"8N"
"212"	"yHRWh24"	NA	89	"8N"
"213"	"yHRWh24"	NA	89	"8N"
"214"	"yHRWh24"	NA	89	"8N"
"215"	"yHRWh24"	NA	89	"8N"
"216"	"yHRWh24"	NA	89	"8N"
"217"	"yHRWh24"	NA	89	"8N"
"218"	"yHRWh24"	NA	89	"8N"
"219"	"yHRWh24"	NA	89	"8N"
"220"	"yHRWh24"	NA	89	"8N"
"221"	"yHRWh24"	NA	89	"8N"
"222"	"yHRWh24"	NA	89	"8N"
"223"	"yHRWh24"	NA	89	"8N"
"224"	"yHRWh24"	NA	89	"8N"
"225"	"yHRWh24"	NA	89	"8N"
"226"	"yHRWh24"	NA	89	"8N"
"227"	"yHRWh24"	NA	89	"8N"
"228"	"yHRWh24"	NA	89	"8N"
"229"	"yHRWh24"	NA	89	"8N"
"230"	"yHRWh24"	NA	89	"8N"
"231"	"yHRWh24"	NA	89	"8N"
"232"	"yHRWh24"	NA	89	"8N"
"233"	"yHRWh24"	NA	89	"8N"
"234"	"yHRWh24"	NA	89	"8N"
"235"	"yHRWh39"	50.722	136	"12N"
"236"	"yHRWh39"	68.061	136	"12N"
"237"	"yHRWh39"	81.129	136	"12N"
"238"	"yHRWh39"	71.425	136	"12N"
"239"	"yHRWh39"	74.142	136	"12N"
"240"	"yHRWh39"	38.171	136	"12N"
"241"	"yHRWh39"	56.027	136	"12N"
"242"	"yHRWh39"	43.088	136	"12N"
"243"	"yHRWh39"	48.911	136	"12N"
"244"	"yHRWh39"	51.498	136	"12N"
"245"	"yHRWh39"	78.541	136	"12N"
"246"	"yHRWh39"	108.302	136	"12N"
"247"	"yHRWh39"	44.252	136	"12N"
"248"	"yHRWh39"	69.484	136	"12N"
"249"	"yHRWh39"	52.792	136	"12N"
"250"	"yHRWh39"	96.656	136	"12N"
"251"	"yHRWh39"	32.348	136	"12N"
"252"	"yHRWh39"	37.006	136	"12N"
"253"	"yHRWh39"	107.784	136	"12N"
"254"	"yHRWh39"	43.735	136	"12N"
"255"	"yHRWh39"	74.53	136	"12N"
"256"	"yHRWh39"	119.947	136	"12N"
"257"	"yHRWh39"	50.981	136	"12N"
"258"	"yHRWh39"	48.781	136	"12N"
"259"	"yHRWh39"	84.494	136	"12N"
"260"	"yHRWh39"	72.978	136	"12N"
"261"	"yHRWh39"	33.383	136	"12N"
"262"	"yHRWh39"	58.097	136	"12N"
"263"	"yHRWh39"	69.355	136	"12N"
"264"	"yHRWh39"	72.072	136	"12N"
"265"	"yHRWh39"	86.564	136	"12N"
"266"	"yHRWh39"	80.482	136	"12N"
"267"	"yHRWh39"	76.989	136	"12N"
"268"	"yHRWh39"	72.589	136	"12N"
"269"	"yHRWh39"	52.922	136	"12N"
"270"	"yHRWh39"	89.799	136	"12N"
"271"	"yHRWh39"	99.503	136	"12N"
"272"	"yHRWh39"	30.796	136	"12N"
"273"	"yHRWh39"	25.749	136	"12N"
"274"	"yHRWh39"	108.949	136	"12N"
"275"	"yHRWh39"	74.272	136	"12N"
"276"	"yHRWh39"	138.45	136	"12N"
"277"	"yHRWh39"	75.048	136	"12N"
"278"	"yHRWh39"	67.284	136	"12N"
