H56	H7	H22	H39	H4	H24	H134	H36
78.541	61.85	84.105	50.722	71.684	115.548	45.676	128.358
68.319	79.577	86.693	68.061	50.075	63.144	39.853	194.866
92.516	103.256	100.021	81.129	41.147	107.784	35.324	80.482
78.412	58.486	79.059	71.425	68.449	71.813	43.864	83.976
63.403	32.219	81.259	74.142	94.069	92.645	75.436	99.115
64.567	79.706	89.152	38.171	35.842	91.869	39.982	104.161
79.577	68.837	82.941	56.027	56.933	59.262	43.864	133.792
89.669	141.426	60.168	43.088	57.968	76.859	30.278	89.799
87.728	71.813	82.682	48.911	44.641	26.267	49.946	160.059
51.628	60.944	99.891	51.498	36.23	69.613	34.16	85.658
78.541	55.51	61.332	78.541	68.708	90.057	131.981	90.446
109.596	59.262	86.434	108.302	69.096	57.968	57.968	119.947
76.859	68.578	82.811	44.252	23.291	24.973	39.724	100.15
71.942	64.567	56.674	69.484	59.133	71.295	49.687	50.463
75.048	66.896	87.599	52.792	64.696	62.626	76.212	23.808
88.893	33.125	92.645	96.656	101.703	69.872	43.994	188.784
87.599	55.251	112.572	32.348	32.219	108.043	132.24	101.315
67.155	54.863	91.74	37.006	54.474	87.081	47.746	32.478
65.085	81.647	69.225	107.784	71.425	93.939	37.524	27.302
95.751	58.227	31.572	43.735	150.484	74.013	28.337	135.733
116.065	53.569	26.008	74.53	62.626	31.184	72.978	142.462
64.826	90.575	73.107	119.947	50.593	25.879	40.112	46.711
89.799	54.863	118.265	50.981	54.474	138.58	31.054	150.225
65.99	48.522	143.626	48.781	29.372	105.326	32.478	185.032
80.094	47.746	115.548	84.494	31.572	115.289	28.596	121.759
64.955	27.949	65.214	72.978	43.605	87.34	34.16	109.596
72.072	65.99	100.797	33.383	77.118	109.466	40.629	101.315
67.155	30.796	105.067	58.097	36.489	67.931	21.091	193.054
81.388	50.851	67.284	69.355	62.497	130.946	35.712	69.872
69.484	68.837	68.061	72.072	74.401	78.153	33.772	115.807
74.272	35.324	89.022	86.564	60.815	69.096	29.76	142.332
91.481	79.447	121.888	80.482	22.903	133.016	42.182	119.171
64.049	25.102	64.438	76.989	39.465	63.403	78.93	83.717
92.775	61.462	71.813	72.589	83.717	76.601	27.69	161.612
87.081	31.313	87.599	52.922	85.658	80.482	88.893	32.736
93.551	167.952	71.425	89.799	32.219	83.07	40.629	27.302
61.979	70.26	91.74	99.503	26.396	65.732	65.085	
30.925	72.848	49.169	30.796	61.85	88.634	30.925	
25.49	75.565	104.291	25.749	50.463	58.356	25.49	
167.046	50.463	66.896	108.949	44.382	70.649	53.827	
84.752	42.958	50.593	74.272	61.979	88.375	39.077	
96.656	81	82.941	138.45	65.732	61.85	53.698	
72.201	37.395	75.695	75.048	62.109	72.072	35.583	
82.553	52.145	52.922	67.284	35.454	66.896	43.088	
68.319	40.371	31.442	65.085	79.059	23.291	70.002	
60.556	46.323	26.008	76.601	66.12	90.446	58.486	
78.541	140.779		25.49	48.911	31.701	38.042	
81.129	55.251		82.811	51.887	26.396	46.84	
106.232	59.262		58.356	134.18		53.31	
86.046	63.144		71.037	32.995		38.688	
81.259	51.11		72.719	48.393		71.166	
74.401	44.641		52.275	67.026		39.077	
71.813	86.564		59.78	48.264		20.185	
74.918	44.77		96.915	42.7		35.454	
90.446	52.922		49.428	75.565		27.173	
61.72	105.196		145.567	56.933		35.065	
60.685	51.628		108.043	171.316		33.642	
71.942	65.085		54.604	70.519		37.783	
147.508	41.406		62.756	47.746		22.644	
91.998	68.19		143.497	105.585		57.58	
66.508	49.04		81.647	74.272		41.665	
65.214	58.874		64.179	57.321		38.43	
87.211	27.561		56.286	53.31		42.829	
104.808	38.947		65.214	77.506		77.636	
66.767	64.049		52.534	63.403		39.594	
75.695	49.557		52.404	119.818		30.278	
84.364	28.596		48.522	47.487		52.922	
63.144	67.931		50.851	72.848		29.113	
73.883	35.195		57.45	70.131		31.184	
83.588	32.478		48.652	102.091		25.749	
80.353	56.157		58.486	27.173			
82.811	60.944		49.428	105.973		132.24	194.866
84.752	104.808		64.826	31.701			
67.284	99.244		42.829	26.267			
82.553	45.934		30.537				
86.823	49.557		25.49				
25.879	30.925						
	25.749						
